cycle_number,top_solid_layers,print_speed,extrusion_width,extrusion_multiplier,temperature,fan_speed
1,4,95,0.420,1.000,210,80
2,5,112,0.479,0.942,201,84
3,3,116,0.383,0.921,219,26
4,4,120,0.395,0.984,211,89
5,2,107,0.400,0.905,217,11
6,3,74,0.381,1.074,199,47
7,3,105,0.426,0.989,196,5
8,2,85,0.468,0.963,203,74
9,3,120,0.381,1.179,230,95
10,5,58,0.380,0.900,214,63
11,3,114,0.384,1.200,195,21
12,2,66,0.458,0.968,227,58
13,5,110,0.447,1.095,232,0
14,4,89,0.500,1.032,224,37
15,2,82,0.393,1.116,222,53
16,4,50,0.437,1.137,198,68
17,4,113,0.392,0.947,198,42
18,5,109,0.405,1.158,195,100
19,5,97,0.384,0.926,235,16
20,2,103,0.489,1.053,206,32
