cycle_number,top_solid_layers,print_speed,extrusion_width,extrusion_multiplier,temperature,fan_speed
1,6,57,0.407,1.084,219,51
2,6,57,0.407,1.084,219,51
3,6,57,0.407,1.084,219,51
4,6,57,0.407,1.084,219,51
5,6,57,0.407,1.084,219,51
6,6,57,0.407,1.084,219,51
7,6,57,0.407,1.084,219,51
8,6,57,0.407,1.084,219,51
9,6,57,0.407,1.084,219,51
10,6,57,0.407,1.084,219,51
11,4,68,0.401,1.121,216,74
12,4,68,0.401,1.121,216,74
13,4,68,0.401,1.121,216,74
14,4,68,0.401,1.121,216,74
15,4,68,0.401,1.121,216,74
16,4,68,0.401,1.121,216,74
17,4,68,0.401,1.121,216,74
18,4,68,0.401,1.121,216,74
19,4,68,0.401,1.121,216,74
20,4,68,0.401,1.121,216,74
21,6,52,0.462,1.09,229,55
22,6,52,0.462,1.09,229,55
23,6,52,0.462,1.09,229,55
24,6,52,0.462,1.09,229,55
25,6,52,0.462,1.09,229,55
26,6,52,0.462,1.09,229,55
27,6,52,0.462,1.09,229,55
28,6,52,0.462,1.09,229,55
29,6,52,0.462,1.09,229,55
30,6,52,0.462,1.09,229,55
31,8,51,0.39,1.092,233,50
32,8,51,0.39,1.092,233,50
33,8,51,0.39,1.092,233,50
34,8,51,0.39,1.092,233,50
35,8,51,0.39,1.092,233,50
36,8,51,0.39,1.092,233,50
37,8,51,0.39,1.092,233,50
38,8,51,0.39,1.092,233,50
39,8,51,0.39,1.092,233,50
40,8,51,0.39,1.092,233,50
41,4,59,0.479,1.127,231,34
42,4,59,0.479,1.127,231,34
43,4,59,0.479,1.127,231,34
44,4,59,0.479,1.127,231,34
45,4,59,0.479,1.127,231,34
46,4,59,0.479,1.127,231,34
47,4,59,0.479,1.127,231,34
48,4,59,0.479,1.127,231,34
49,4,59,0.479,1.127,231,34
50,4,59,0.479,1.127,231,34
51,9,81,0.386,1.139,227,34
52,9,81,0.386,1.139,227,34
53,9,81,0.386,1.139,227,34
54,9,81,0.386,1.139,227,34
55,9,81,0.386,1.139,227,34
56,9,81,0.386,1.139,227,34
57,9,81,0.386,1.139,227,34
58,9,81,0.386,1.139,227,34
59,9,81,0.386,1.139,227,34
60,9,81,0.386,1.139,227,34
61,5,60,0.483,1.058,234,41
62,5,60,0.483,1.058,234,41
63,5,60,0.483,1.058,234,41
64,5,60,0.483,1.058,234,41
65,5,60,0.483,1.058,234,41
66,5,60,0.483,1.058,234,41
67,5,60,0.483,1.058,234,41
68,5,60,0.483,1.058,234,41
69,5,60,0.483,1.058,234,41
70,5,60,0.483,1.058,234,41
71,7,80,0.443,1.088,226,59
72,7,80,0.443,1.088,226,59
73,7,80,0.443,1.088,226,59
74,7,80,0.443,1.088,226,59
75,7,80,0.443,1.088,226,59
76,7,80,0.443,1.088,226,59
77,7,80,0.443,1.088,226,59
78,7,80,0.443,1.088,226,59
79,7,80,0.443,1.088,226,59
80,7,80,0.443,1.088,226,59
81,5,61,0.414,1.067,231,37
82,5,61,0.414,1.067,231,37
83,5,61,0.414,1.067,231,37
84,5,61,0.414,1.067,231,37
85,5,61,0.414,1.067,231,37
86,5,61,0.414,1.067,231,37
87,5,61,0.414,1.067,231,37
88,5,61,0.414,1.067,231,37
89,5,61,0.414,1.067,231,37
90,5,61,0.414,1.067,231,37
91,8,67,0.41,1.138,224,68
92,8,67,0.41,1.138,224,68
93,8,67,0.41,1.138,224,68
94,8,67,0.41,1.138,224,68
95,8,67,0.41,1.138,224,68
96,8,67,0.41,1.138,224,68
97,8,67,0.41,1.138,224,68
98,8,67,0.41,1.138,224,68
99,8,67,0.41,1.138,224,68
100,8,67,0.41,1.138,224,68
